Title,Body,Assignees,Status,Priority,Type,Week,Milestone,Labels,Epic ID,Parent Epic,Story ID,Depends On,Estimate,Acceptance Criteria,Iteration
Epic: Local AI Foundation,"## Goal
Get the local agent runtime working on Windows with OpenClaw, Ollama, models, workspaces, and verified agent flows.

## Scope
- - Install Ollama and verify local runtime
- Pull local coding and embedding models
- Install OpenClaw and complete onboarding
- Create and validate agent workspaces
- Define agents in openclaw.json
- Smoke test all local agents

## Exit criteria
All P0 stories for Week 1 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,1,Week 1 — Local AI Foundation,"week-1,epic,mvp,foundation",E-01,,,,8,Weekly milestone 'Week 1 — Local AI Foundation' achieved.,Week 1
Install Ollama and verify local runtime,"## Story
Set up Ollama on Windows and confirm it is available on the command line.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,devops,ollama",,E-01,S-01-01,,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Pull local coding and embedding models,"## Story
Pull qwen2.5-coder:7b, codellama:7b-instruct, codellama:7b-code, and nomic-embed-text.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,ollama,models",,E-01,S-01-02,S-01-01,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Install OpenClaw and complete onboarding,"## Story
Install OpenClaw, run onboarding, and verify the gateway and dashboard.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,openclaw,setup",,E-01,S-01-03,S-01-02,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Create and validate agent workspaces,"## Story
Create workspace-main, workspace-reviewer, workspace-tests, workspace-docs, and workspace-support with required files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,agents,workspace",,E-01,S-01-04,S-01-03,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Define agents in openclaw.json,"## Story
Add model routing, workspaces, memorySearch, and baseline bindings to the OpenClaw config.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,openclaw,config",,E-01,S-01-05,S-01-04,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Smoke test all local agents,"## Story
Run one simple task through each agent and confirm expected behavior and model selection.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,testing,agents",,E-01,S-01-06,S-01-05,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Epic: SaaS Backend and Frontend Skeleton,"## Goal
Create the core product shell with a Spring Boot backend, Angular frontend, auth foundation, and tenant-aware data model.

## Scope
- - Bootstrap Spring Boot backend
- Configure Postgres and migrations
- Implement authentication foundation
- Create tenant and project domain models
- Bootstrap Angular app shell
- Add auth state and org/project switching UI

## Exit criteria
All P0 stories for Week 2 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,epic,mvp,foundation",E-02,,,E-01,8,Weekly milestone 'Week 2 — SaaS Backend and Frontend Skeleton' achieved.,Week 2
Bootstrap Spring Boot backend,"## Story
Create the backend project with core packages for auth, users, organizations, projects, audit, memory, and integrations.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,spring-boot",,E-02,S-02-01,E-01,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Configure Postgres and migrations,"## Story
Set up Postgres connectivity and Flyway or Liquibase migrations.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,database",,E-02,S-02-02,S-02-01,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Implement authentication foundation,"## Story
Add security configuration, auth flow, and JWT or session-based authentication.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,auth",,E-02,S-02-03,S-02-02,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Create tenant and project domain models,"## Story
Add entities and repositories for users, organizations, memberships, and projects.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,multi-tenant",,E-02,S-02-04,S-02-03,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Bootstrap Angular app shell,"## Story
Create the Angular app with layout, sidebar, routing, login page, and dashboard placeholder.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,frontend,angular",,E-02,S-02-05,S-02-04,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Add auth state and org/project switching UI,"## Story
Create frontend state and placeholder screens for organization switching and project listing.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P1,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,frontend,auth,ux",,E-02,S-02-06,S-02-05,2,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Epic: Shared Memory Foundation,"## Goal
Build the Postgres + pgvector memory layer, ingestion API, and first memory search UI.

## Scope
- - Enable pgvector and create memory schema
- Add full-text and vector search support
- Implement EmbeddingService
- Implement MemoryIngestionService
- Implement MemoryRetrievalService
- Build Memory Explorer screen

## Exit criteria
All P0 stories for Week 3 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,3,Week 3 — Shared Memory Foundation,"week-3,epic,mvp,foundation",E-03,,,E-02,8,Weekly milestone 'Week 3 — Shared Memory Foundation' achieved.,Week 3
Enable pgvector and create memory schema,"## Story
Create memory_documents, memory_chunks, memory_summaries, and memory_events tables with tenant-aware indexes.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P0,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,backend,database,memory",,E-03,S-03-01,E-02,3,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Add full-text and vector search support,"## Story
Create full-text search columns and wire up vector search support in the database layer.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P0,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,backend,search,memory",,E-03,S-03-02,S-03-01,3,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Implement EmbeddingService,"## Story
Create the service responsible for generating embeddings for memory chunks.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P0,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,backend,memory,embeddings",,E-03,S-03-03,S-03-02,3,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Implement MemoryIngestionService,"## Story
Add ingest DTOs, chunking support, and APIs for manual ingestion.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P0,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,backend,memory,api",,E-03,S-03-04,S-03-03,3,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Implement MemoryRetrievalService,"## Story
Add search APIs with tenant, project, repo, and source filters.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P0,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,backend,memory,search",,E-03,S-03-05,S-03-04,3,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Build Memory Explorer screen,"## Story
Create the first UI for memory search, filtering, and result inspection.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Shared Memory Foundation**.
",,Todo,P1,Story,3,Week 3 — Shared Memory Foundation,"week-3,story,frontend,memory,ux",,E-03,S-03-06,S-03-05,2,"- Deliverable for Week 3 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 3
Epic: OpenClaw Memory Sync and Project Docs,"## Goal
Connect shared SaaS memory with agent-local OpenClaw memory files and establish architecture and runbook docs.

## Scope
- - Create architecture and runbook docs
- Implement WorkspaceMemorySyncService
- Add daily memory file conventions
- Add durable memory promotion rules
- Index and test OpenClaw memory search
- Prevent duplicate memory sync entries

## Exit criteria
All P0 stories for Week 4 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,epic,mvp,foundation",E-04,,,E-03,8,Weekly milestone 'Week 4 — OpenClaw Memory Sync and Project Docs' achieved.,Week 4
Create architecture and runbook docs,"## Story
Initialize docs/architecture.md and docs/runbooks.md in the main workspace.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P0,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,docs,architecture",,E-04,S-04-01,E-03,3,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Implement WorkspaceMemorySyncService,"## Story
Write services that append daily summaries and durable decisions into OpenClaw memory files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P0,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,backend,memory,openclaw",,E-04,S-04-02,S-04-01,3,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Add daily memory file conventions,"## Story
Create the logic and templates for memory/YYYY-MM-DD.md files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P1,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,memory,openclaw",,E-04,S-04-03,S-04-02,2,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Add durable memory promotion rules,"## Story
Separate temporary notes from durable MEMORY.md updates.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P0,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,memory,governance",,E-04,S-04-04,S-04-03,3,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Index and test OpenClaw memory search,"## Story
Run memory indexing and verify that agents pull the right context from memory files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P0,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,openclaw,testing,memory",,E-04,S-04-05,S-04-04,3,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Prevent duplicate memory sync entries,"## Story
Add idempotency and duplicate suppression when syncing summaries into workspace memory.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: OpenClaw Memory Sync and Project Docs**.
",,Todo,P1,Story,4,Week 4 — OpenClaw Memory Sync and Project Docs,"week-4,story,backend,memory,quality",,E-04,S-04-06,S-04-05,2,"- Deliverable for Week 4 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 4
Epic: GitHub Ingestion and Dev Workflow,"## Goal
Turn repository activity into searchable project intelligence and connect code changes to memory.

## Scope
- - Create GitHub webhook receiver
- Handle push and pull request events
- Summarize PRs and code changes
- Persist code activity to shared memory
- Link repositories to projects
- Build code activity feed UI

## Exit criteria
All P0 stories for Week 5 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,epic,mvp",E-05,,,E-04,8,Weekly milestone 'Week 5 — GitHub Ingestion and Dev Workflow' achieved.,Week 5
Create GitHub webhook receiver,"## Story
Build secure webhook endpoints and verify signatures for GitHub events.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P0,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,backend,github,webhooks",,E-05,S-05-01,E-04,3,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Handle push and pull request events,"## Story
Store webhook payloads and normalize push, PR, and merged PR events.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P0,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,backend,github,integrations",,E-05,S-05-02,S-05-01,3,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Summarize PRs and code changes,"## Story
Generate summaries of PR intent, changed files, risks, and architectural impact.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P0,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,backend,github,memory",,E-05,S-05-03,S-05-02,3,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Persist code activity to shared memory,"## Story
Save GitHub-derived summaries into memory tables and daily memory files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P0,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,backend,memory,github",,E-05,S-05-04,S-05-03,3,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Link repositories to projects,"## Story
Create repository records and map them to projects and memory scope.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P1,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,backend,repos,projects",,E-05,S-05-05,S-05-04,2,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Build code activity feed UI,"## Story
Show recent code activity and linked summaries inside the project UI.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: GitHub Ingestion and Dev Workflow**.
",,Todo,P1,Story,5,Week 5 — GitHub Ingestion and Dev Workflow,"week-5,story,frontend,github,ux",,E-05,S-05-06,S-05-05,2,"- Deliverable for Week 5 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 5
Epic: Team Collaboration Basics,"## Goal
Make the MVP multi-user with roles, shared project rooms, and activity visibility.

## Scope
- - Implement team invitation flow
- Add role model and permissions baseline
- Add project membership controls
- Create team members management UI
- Create shared project room UI
- Add activity feed and audit placeholders

## Exit criteria
All P0 stories for Week 6 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,6,Week 6 — Team Collaboration Basics,"week-6,epic,mvp",E-06,,,E-05,8,Weekly milestone 'Week 6 — Team Collaboration Basics' achieved.,Week 6
Implement team invitation flow,"## Story
Allow organization admins to invite users into the SaaS.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P0,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,backend,team,auth",,E-06,S-06-01,E-05,3,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Add role model and permissions baseline,"## Story
Create roles such as owner, admin, developer, QA, PM, and support with authorization rules.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P0,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,backend,rbac,security",,E-06,S-06-02,S-06-01,3,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Add project membership controls,"## Story
Restrict project visibility and actions by organization and project membership.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P0,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,backend,rbac,projects",,E-06,S-06-03,S-06-02,3,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Create team members management UI,"## Story
Build screens for listing members, inviting users, and editing roles.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P1,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,frontend,team,ux",,E-06,S-06-04,S-06-03,2,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Create shared project room UI,"## Story
Add a shared collaboration space for each project.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P1,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,frontend,collaboration,ux",,E-06,S-06-05,S-06-04,2,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Add activity feed and audit placeholders,"## Story
Show who did what at a basic level before full audit features land.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Team Collaboration Basics**.
",,Todo,P1,Story,6,Week 6 — Team Collaboration Basics,"week-6,story,frontend,audit,activity",,E-06,S-06-06,S-06-05,2,"- Deliverable for Week 6 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 6
Epic: Internal WhatsApp Integration,"## Goal
Connect internal WhatsApp to the support agent and feed support conversations into memory.

## Scope
- - Configure OpenClaw WhatsApp channel
- Apply WhatsApp allowlist and routing policy
- Create support conversation persistence
- Implement support summarization flow
- Build internal WhatsApp inbox UI
- Test end-to-end internal support flow

## Exit criteria
All P0 stories for Week 7 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,7,Week 7 — Internal WhatsApp Integration,"week-7,epic,mvp",E-07,,,E-06,8,Weekly milestone 'Week 7 — Internal WhatsApp Integration' achieved.,Week 7
